id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31346614,Big and cozy room in Berlin Wedding,77870187,Sarah,Mitte,Parkviertel,52.54667207290061,13.344379704750416,Private room,30,2,0,,,1,15
31347460,Spacious 65sqm flat in Moabit for up to 4 people,90020282,Fabian,Mitte,Moabit Ost,52.52921363415586,13.349852736822953,Entire home/apt,100,3,0,,,1,9
31347829,Cozy private room in Prenzlauer Berg,40677262,Kira,Pankow,Prenzlauer Berg Nordwest,52.547345353684996,13.401816644350939,Private room,42,2,0,,,1,15
31349509,Gemütliches Zimmer in Prenzlauer Berg,56791356,Ramzi,Pankow,Prenzlauer Berg Ost,52.53320823795554,13.443801020287431,Private room,49,2,0,,,1,100
31349849,Room available in flat with comfortable atmosphere,40255945,Maria,Lichtenberg,Karlshorst,52.47898482943631,13.532778989498324,Private room,16,3,0,,,1,10
31351677,Maisonette Apartment im Herzen Friedrichshains,129279283,Kaya,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.516114749780265,13.462814629474064,Entire home/apt,130,1,0,,,1,3
31351923,Schlafzimmer in Berlin-Mitte,234747087,Jennifer,Mitte,Alexanderplatz,52.51369770531927,13.406939730084012,Private room,45,1,0,,,1,83
31352468,柏林好房出租,234753937,Yue,Tempelhof - Schöneberg,Schöneberg-Süd,52.481223622667706,13.349688534204764,Private room,30,2,0,,,1,56
31353040,Cozy generous room in lovely flat 15 min from alex,234756798,Tommaso,Pankow,Prenzlauer Berg Nord,52.54308423908947,13.438971229252044,Private room,35,2,0,,,1,101
31353297,industrial atelier space,234762606,Peter,Neukölln,Köllnische Heide,52.47607181093992,13.459735454062276,Entire home/apt,100,10,0,,,1,88
31356776,Shared 4 GIRLS room in Kreuzberg (Curry 36)3,222567373,Germana & Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.495731371792004,13.381422620325559,Shared room,9,3,0,,,4,110
31356953,Private Room in North-Neukölln,234800552,Mohammad Reza,Neukölln,Reuterstraße,52.48442924480483,13.434546340240079,Private room,30,3,0,,,1,342
31358081,"Be Home at 364.Berlin,our Backyard is Viktoriapark",5459494,Vefa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49069098117361,13.380638518511923,Private room,30,1,0,,,2,353
31359220,Nice private room near public transport [S Bahn],33095701,Muhammad,Marzahn - Hellersdorf,Marzahn-Süd,52.530995870042204,13.540674930541098,Private room,25,1,0,,,1,79
31359799,Musician’s Home in Beautiful Flat,6790148,Monika,Mitte,Parkviertel,52.54674644321845,13.348805124640533,Private room,39,1,0,,,3,362
31359938,Living Room with Sleeping Couch in Beautiful Flat,6790148,Monika,Mitte,Parkviertel,52.54681834427028,13.349071257624502,Shared room,25,1,0,,,3,363
31360104,Be Home at 364.Berlin our Backyard is Viktoriapark,5459494,Vefa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488988004004064,13.378592967550016,Private room,55,1,0,,,2,334
31360327,The cosy - casa - cube in Berlin,232408287,Ergo,Neukölln,Britz,52.45952900152891,13.4346050044821,Private room,35,2,0,,,2,1
31360695,Charming apartment in antique style in Berlin,167456253,Alexander,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.52162209597821,13.325143787363794,Private room,30,1,1,2019-01-09,1,1,59
31360777,Good energy,152558016,(Email hidden by Airbnb),Neukölln,Reuterstraße,52.49207396853801,13.428325425654611,Entire home/apt,85,1,0,,,1,90
31361876,Convenient studio at Halensee near Ku'damm,234854700,Kestutis,Charlottenburg-Wilm.,Grunewald,52.49313916351303,13.284571217280932,Entire home/apt,60,2,0,,,1,339
31362525,"100m2 apartment, 3 rooms and balcony.",2722559,Đức Anh,Mitte,Osloer Straße,52.56202639992365,13.389682211352461,Entire home/apt,170,2,0,,,1,89
31364328,The room here is ready for you. Come check in.,89835397,Barbara,Steglitz - Zehlendorf,Drakestr.,52.433119980337004,13.295790137261486,Private room,37,1,0,,,1,365
31366042,helles ruhiges Zimmer in 2er WG,1569934,Norman,Mitte,Wedding Zentrum,52.55129935963786,13.363500270892237,Private room,29,5,0,,,1,17
31368604,"Room to rent in quiet and cosy, sunny flat",114236005,Mareen,Lichtenberg,Neu Lichtenberg,52.50330548062565,13.47730474643696,Private room,29,7,0,,,1,19
31368808,Charming Apartment,49478712,Anne-Sophie,Pankow,Prenzlauer Berg Nordwest,52.548111812046145,13.400099013766033,Entire home/apt,70,30,0,,,1,267
31371396,City-Apartment Zille,234930165,Thomas,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51307510804513,13.452686877479824,Entire home/apt,150,2,0,,,1,154
31371547,Big luxus-flat perfectly connected to the center,74015685,Vincent,Pankow,Pankow Süd,52.56578286778517,13.409486772847293,Entire home/apt,55,1,0,,,2,25
31372434,4 Zimmer Luxus-Dachgeschoss-Wohnung in Wilmersdorf,8113787,Achim,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49343586435131,13.313537991522663,Entire home/apt,80,30,0,,,1,54
31374089,Sunny top floor apartment in Prenzlauer Berg,4626021,Elena,Pankow,Prenzlauer Berg Nord,52.5512423494678,13.418117795280267,Entire home/apt,70,25,0,,,1,133
31374414,RomanticStyle Apartment Berlin Checkpoint Charlie,2569632,Catharina,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50780752027653,13.40016627888626,Entire home/apt,130,2,0,,,6,18
31377666,A Spacious & Atmospheric Room in a Great Area,16735023,Franek,Neukölln,Reuterstraße,52.48438646851673,13.437626754974898,Private room,35,2,0,,,2,8
31379224,Kurfürstendamm quiet 1 1/2 Room apartment,12694377,Antonio,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49950367153394,13.323409639461449,Entire home/apt,28,30,0,,,3,143
